Year,Age,Female,Male,Total
1835,0,17343.98,18133.3,35477.28
1835,1-4,55202.94,56164,111366.94
1835,5-9,66973,68189.02,135162.02
1835,10-14,68237.51,68206.93,136444.44
1835,15-19,62125.06,61200.67,123325.73
1835,20-24,50724.86,49668.86,100393.72
1835,25-29,46157.87,45326.51,91484.38
1835,30-34,44667.83,45088.83,89756.66
1835,35-39,38356.4,37485.98,75842.38
1835,40-44,34716.15,32899.06,67615.21
1835,45-49,28250.95,26473.32,54724.27
1835,50-54,26902.48,24862.08,51764.56
1835,55-59,24215.01,22023.64,46238.65
1835,60-64,19302.98,16853.15,36156.13
1835,65-69,15611.85,13081.83,28693.68
1835,70-74,10940.3,8857.24,19797.54
1835,75-79,6903.13,5331.77,12234.9
1835,80-84,3482.39,2461.52,5943.91
1835,85-89,1226.95,788.45,2015.4
1835,90-94,281.53,160.43,441.96
1835,95-99,52.94,27.99,80.93
1835,100-104,2.44,4.82,7.26
1835,105-109,1.74,0.06,1.8
1835,110+,0,0,0
1836,0,17900.64,18432.96,36333.6
1836,1-4,56350.22,57254.25,113604.47
1836,5-9,65432.24,66606.53,132038.77
1836,10-14,68336.64,68570.67,136907.31
1836,15-19,63401.76,62704.41,126106.17
1836,20-24,51983.72,50962.27,102945.99
1836,25-29,46325.81,45393.56,91719.37
1836,30-34,45012.94,45206.24,90219.18
1836,35-39,39108.42,38445.94,77554.36
1836,40-44,35172.54,33450.17,68622.71
1836,45-49,28703.04,26885,55588.04
1836,50-54,26687.41,24579.83,51267.24
1836,55-59,24448.04,22163.38,46611.42
1836,60-64,19590.04,17117.92,36707.96
1836,65-69,15599.08,13067.36,28666.44
1836,70-74,11168.03,8940.99,20109.02
1836,75-79,6957.98,5390.7,12348.68
1836,80-84,3555.52,2498.89,6054.41
1836,85-89,1295.55,785.23,2080.78
1836,90-94,296.9,176.63,473.53
1836,95-99,65.77,29.78,95.55
1836,100-104,2.19,4.59,6.78
1836,105-109,0.98,0.79,1.77
1836,110+,0,0,0
1837,0,17737.31,18296.68,36033.99
1837,1-4,58512.58,59262.14,117774.72
1837,5-9,64144.91,65281.01,129425.92
1837,10-14,68103.52,68532.17,136635.69
1837,15-19,64285.7,63838.65,128124.35
1837,20-24,53841.34,52796.93,106638.27
1837,25-29,46639.46,45594.97,92234.43
1837,30-34,45064.21,45007.27,90071.48
1837,35-39,39895.17,39436.99,79332.16
1837,40-44,35457.7,33913.83,69371.53
1837,45-49,29443.98,27546.45,56990.43
1837,50-54,26461.49,24265.92,50727.41
1837,55-59,24480.88,22142.83,46623.71
1837,60-64,19990.58,17501.85,37492.43
1837,65-69,15507.37,12997.62,28504.99
1837,70-74,11298.12,9067.08,20365.2
1837,75-79,6979.23,5398.73,12377.96
1837,80-84,3561.34,2532.5,6093.84
1837,85-89,1308.27,780.49,2088.76
1837,90-94,294.57,186.14,480.71
1837,95-99,69.73,29.51,99.24
1837,100-104,4.36,3.63,7.99
1837,105-109,0,1.9,1.9
1837,110+,0,0,0
1838,0,17308.39,17788.68,35097.07
1838,1-4,60657.57,61314.76,121972.33
1838,5-9,63622.56,64677.06,128299.62
1838,10-14,67337.26,68029,135366.26
1838,15-19,65007.23,64787.3,129794.53
1838,20-24,55981.82,54918.61,110900.43
1838,25-29,47067.97,45997.34,93065.31
1838,30-34,44895.96,44594.9,89490.86
1838,35-39,40702.1,40492.19,81194.29
1838,40-44,35675.3,34273.17,69948.47
1838,45-49,30334.78,28374.67,58709.45
1838,50-54,26213.8,23986.16,50199.96
1838,55-59,24398.5,22013.61,46412.11
1838,60-64,20336.85,17800.85,38137.7
1838,65-69,15386.29,12861.65,28247.94
1838,70-74,11324.36,9106.11,20430.47
1838,75-79,6908.35,5293.1,12201.45
1838,80-84,3529.29,2497.34,6026.63
1838,85-89,1280.09,740.1,2020.19
1838,90-94,282.7,189.04,471.74
1838,95-99,63.81,31.01,94.82
1838,100-104,5.4,3.69,9.09
1838,105-109,0,2.68,2.68
1838,110+,0,0,0
1839,0,17317.83,17886.92,35204.75
1839,1-4,61672.61,62324.32,123996.93
1839,5-9,64290.31,65331.62,129621.93
1839,10-14,66052.55,66998.49,133051.04
1839,15-19,65668.69,65700.53,131369.22
1839,20-24,58185.37,57162.14,115347.51
1839,25-29,47757.56,46634.81,94392.37
1839,30-34,44524.7,44000.73,88525.43
1839,35-39,41586.13,41636.15,83222.28
1839,40-44,35850.7,34599.73,70450.43
1839,45-49,31379.77,29309.6,60689.37
1839,50-54,26037.03,23764.87,49801.9
1839,55-59,24337.69,21874.57,46212.26
1839,60-64,20694.99,18075.3,38770.29
1839,65-69,15437.37,12867.17,28304.54
1839,70-74,11395.2,9164.42,20559.62
1839,75-79,6918.38,5311.13,12229.51
1839,80-84,3554.19,2515.09,6069.28
1839,85-89,1275.97,759,2034.97
