"11rc -- Population according to age (5-year) and sex, 1865-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Males - 4 Population 31 Dec,Males 5 - 9 Population 31 Dec,Males 10 - 14 Population 31 Dec,Males 15 - 19 Population 31 Dec,Males 20 - 24 Population 31 Dec,Males 25 - 29 Population 31 Dec,Males 30 - 34 Population 31 Dec,Males 35 - 39 Population 31 Dec,Males 40 - 44 Population 31 Dec,Males 45 - 49 Population 31 Dec,Males 50 - 54 Population 31 Dec,Males 55 - 59 Population 31 Dec,Males 60 - 64 Population 31 Dec,Males 65 - 69 Population 31 Dec,Males 70 - 74 Population 31 Dec,Males 75 - 79 Population 31 Dec,Males 80 - 84 Population 31 Dec,Males 85 - Population 31 Dec,Females - 4 Population 31 Dec,Females 5 - 9 Population 31 Dec,Females 10 - 14 Population 31 Dec,Females 15 - 19 Population 31 Dec,Females 20 - 24 Population 31 Dec,Females 25 - 29 Population 31 Dec,Females 30 - 34 Population 31 Dec,Females 35 - 39 Population 31 Dec,Females 40 - 44 Population 31 Dec,Females 45 - 49 Population 31 Dec,Females 50 - 54 Population 31 Dec,Females 55 - 59 Population 31 Dec,Females 60 - 64 Population 31 Dec,Females 65 - 69 Population 31 Dec,Females 70 - 74 Population 31 Dec,Females 75 - 79 Population 31 Dec,Females 80 - 84 Population 31 Dec,Females 85 - Population 31 Dec
1953,235730,239354,173528,162434,158192,155464,133122,123270,137065,125197,103369,80558,60540,46726,30414,18003,8216,2531,225667,229455,167588,157156,154389,157252,152092,143829,153799,142903,121475,102520,82330,71509,51478,32922,16649,5883
1954,229195,251852,175379,166864,155506,157870,140957,117706,134672,128486,106593,83806,61894,47283,31183,18230,8469,2750,220359,241331,168595,161327,151342,157667,158758,137598,152336,146149,124491,106662,83916,72110,52741,33666,17134,6314
1955,225473,253064,191297,164567,153893,159542,143442,120418,131195,131689,108935,85953,64393,47828,31806,18428,8479,2980,216519,243048,183353,159599,148631,157737,157525,141225,149679,149498,127223,109183,86988,72926,53805,34335,17209,6706
1956,224054,247071,200112,174605,152581,159539,146627,123956,126348,133247,111806,89698,65527,49108,32799,18578,8607,3136,215162,237179,192080,168975,147502,156574,156226,145011,146371,150675,130829,112452,88833,74281,55976,34536,17727,7044
1957,220275,241291,222412,170546,153283,158028,149828,126334,122342,133572,115404,92864,67359,49425,33773,18763,8852,3280,211449,231535,213481,165075,147697,154580,155294,147011,143076,151503,134968,115681,91441,74289,57484,35340,18165,7490
1958,215560,233934,237764,171172,157797,153465,152066,130331,120145,132415,118709,95048,70624,49709,34728,19339,8992,3410,207076,224326,228644,165832,151551,149217,154040,149698,141569,150982,139163,116655,96442,73953,59159,36604,18393,7802
1959,212699,227936,249778,173189,161799,150266,154068,137868,114644,130078,121852,98206,73381,50967,35147,19986,9204,3597,203684,219487,239854,167616,155367,144997,153975,156006,135210,149570,142366,119699,100258,75541,59685,37883,18844,8339
1960,208557,223957,251004,189481,159054,147939,155335,140044,117337,126535,124875,100379,75516,53044,35573,20499,9406,3728,200031,215464,241174,182957,153597,141408,153200,154390,138744,146685,145651,122438,102669,78379,60376,38715,19380,8701
1961,204378,222169,244767,198112,169493,145927,154959,142868,120413,121699,126210,102828,78923,53913,36659,21301,9424,3830,196668,213731,235085,191269,163651,139651,151197,152944,142153,143311,146693,125872,105548,80062,61485,40319,19440,8835
1962,202239,217907,239585,220036,166209,146889,153272,146032,122858,117730,126576,106027,81781,55188,36872,21585,9529,3809,194987,209516,230079,212167,160253,140490,149040,152064,144349,139922,147661,129794,108704,82433,61677,41158,19935,8745
1963,202999,213233,232424,235003,166936,151881,148586,148307,126818,115735,125255,109086,83533,57967,37071,22242,9861,3816,195518,205219,223122,226505,161533,144775,144094,151093,147097,138662,147051,133810,109837,86929,61472,42511,20667,8871
1964,201429,209168,226514,246109,167232,154923,144525,150185,133907,110349,123032,111916,86161,60300,38034,22509,10128,3919,194015,200769,218145,236024,161190,147589,139793,151349,153478,132391,145623,136912,112798,90376,62955,43103,21543,9174
1965,199196,204970,221854,246322,181393,151326,141708,151310,135926,112789,119466,114680,87969,62001,39380,22822,10183,3955,191695,196890,213548,235846,173787,144934,136496,150700,151918,135827,142916,139996,115498,92592,65452,43310,21890,9351
1966,196834,201069,220352,240252,188870,161752,139760,151143,139009,115854,115114,115754,90350,64830,39926,23310,10411,4011,189154,193797,211831,229637,180943,154575,135413,149059,150716,139435,139756,141202,118862,95536,67182,44120,22626,9397
1967,194988,198983,215974,235514,210249,158732,141438,149579,142175,118177,111409,115948,93263,67170,40716,23507,10649,4117,187168,191975,207609,224892,200844,151990,136843,147251,149873,141639,136496,142276,122768,98611,69417,44473,23096,9836
1968,189955,199642,211351,228138,224210,158709,146250,145085,144466,121817,109436,114798,95896,68500,42890,23406,10919,4213,182591,192171,203217,217501,213195,152742,141279,142465,148615,144363,135229,141842,126770,99817,73228,44347,23834,10405
1969,181610,197626,207225,220667,231215,156816,148780,141630,145917,128611,104218,112659,98355,70549,44765,24067,11204,4303,174433,189739,198843,210432,218002,150293,144912,138719,148556,150272,128972,140385,129890,102849,76375,46096,24403,10889
1970,173171,194431,202971,215689,228348,169075,145511,138817,146465,130270,106252,109496,100563,72058,46022,25142,11254,4450,166273,186729,194975,205481,216751,161956,142458,135708,147804,148699,132245,137817,132893,105405,78686,48244,24895,11332
1971,167275,192445,199232,215563,227202,178746,155599,137678,146512,133302,109355,105466,101701,73981,48119,25586,11661,4614,160437,184936,191684,206166,214936,170361,151511,134865,146578,147702,135970,134712,134335,108591,81468,49820,25830,11973
1972,160946,190605,197232,212305,225749,201603,153050,139101,145516,136705,111607,102497,102084,76641,50031,26603,11908,4868,153917,183210,189868,203577,213005,190829,148266,135898,145088,147137,138055,132163,135232,112603,84318,52088,26368,12728
1973,154914,187338,197906,208330,221845,217851,155118,144193,141885,139323,115503,100795,101370,78941,51334,28197,12214,5085,147585,180080,190427,200193,209255,205904,149422,140397,140904,146377,141152,131036,135160,116580,85995,55485,27278,13389
1974,153908,181760,196997,205224,217388,231243,157939,148536,139406,141513,122193,96186,99670,81364,53099,29469,12681,5239,147055,174496,189409,196763,206501,217695,150773,144562,137691,146801,147494,125323,134111,119937,89037,58446,28595,13883
1975,155364,175672,195205,201797,213550,233379,172732,146594,137581,142756,124342,98496,97126,83590,54470,30575,13499,5387,148031,168667,187605,193795,203580,219826,163934,143074,135231,146540,146289,128824,131930,123139,91815,60944,30437,14716
1976,157791,168774,193079,197874,210823,227854,180707,155848,136123,142561,127259,101422,93647,84706,56344,31938,13961,5681,149808,161968,185636,190273,201847,214424,171161,151678,134212,145135,145267,132347,129044,124781,95121,63774,32165,15803
1977,160122,161966,191579,196367,206357,222922,201259,152485,137415,141660,130681,103667,91271,85422,58655,33408,14398,6034,152450,155019,184095,188514,197007,208811,189684,147780,135073,143591,144759,134543,126729,126154,99261,66776,34327,16726
1978,163543,154755,187592,196867,201673,216359,215013,153347,141889,137908,132909,107435,89896,84957,60533,34412,15414,6288,155991,147582,180323,188810,192443,202866,202770,148114,139186,139314,143908,137511,125734,126183,103049,68581,37184,17749
1979,164208,152727,181731,195718,198280,210505,226791,155288,145783,135412,135164,113717,86043,83942,62600,35766,16397,6712,156755,146043,174545,187672,188597,199240,213091,148902,143123,136025,144314,143716,120324,125513,106301,71438,39708,19201
1980,163355,153930,176032,194062,195409,206989,228742,169800,143950,133967,136509,116077,88355,82169,64474,36855,17079,7089,156176,146648,169068,186090,185962,196535,214980,161754,141518,133697,144179,142742,123870,123741,109468,74195,41664,20648
1981,162438,157195,169541,192603,193220,206315,224914,178419,153514,132802,136749,119025,91219,79638,65915,38401,18078,7487,155512,149310,162796,184945,184028,196304,211007,169190,150298,132810,143020,141973,127434,121078,111351,77393,44023,22205
1982,163570,160826,162554,190903,192704,203331,221547,199581,150313,134083,135878,122229,93364,77680,66913,40288,19106,7999,156226,153281,155583,183430,183525,193779,207692,188695,146729,133754,141500,141534,129579,119062,112887,80895,46505,24190
1983,165384,164920,155848,187288,194436,200297,216249,214257,151539,138784,132666,124664,97087,76876,66688,41830,19791,8568,158042,157521,148625,180201,185400,191076,202907,202430,147415,137973,137425,140812,132670,118386,113085,84267,48051,26400
1984,166464,165973,154149,181666,194142,198250,211233,226606,153777,142835,130626,126867,103007,73721,66244,43712,20682,9274,158847,158695,147377,174654,185406,188493,200146,213348,148412,142005,134265,141390,138845,113348,112833,87416,50459,28581
